Initializing EZ430-RF2500
    2433MHz-2473MHz @ 200.00KHz, 200 samples
2012-03-24 17:01:06 frame: [-100,-95,-94,-96,-96,-97,-99,-99,-95,-99,-100,-95,-96,-96,-93,-94,-98,-98,-100,-101,-96,-95,-97,-95,-97,-98,-97,-94,-95,-92,-98,-94,-98,-97,-98,-91,-98,-93,-92,-95,-97,-93,-99,-96,-94,-99,-96,-93,-95,-93,-97,-93,-97,-95,-98,-91,-98,-95,-93,-97,-95,-94,-95,-97,-96,-96,-95,-98,-95,-94,-100,-96,-95,-98,-98,-97,-94,-98,-93,-97,-98,-96,-99,-95,-94,-98,-93,-97,-97,-98,-99,-98,-94,-98,-95,-95,-103,-100,-98,-95,-98,-93,-92,-95,-98,-91,-96,-96,-95,-92,-100,-100,-99,-91,-98,-99,-96,-104,-95,-96,-82,-95,-98,-96,-94,-98,-92,-94,-95,-95,-97,-99,-95,-93,-94,-98,-96,-96,-91,-96,-94,-98,-87,-97,-90,-96,-101,-100,-95,-99,-98,-96,-94,-95,-90,-97,-95,-99,-99,-96,-95,-93,-96,-97,-97,-96,-98,-97,-94,-95,-91,-99,-98,-94,-95,-98,-95,-97,-95,-90,-90,-96,-99,-95,-94,-93,-96,-95,-98,-96,-99,-95,-94,-97,-93,-95,-98,-98,-98,-100,] :200
2012-03-24 17:01:07 frame: [-91,-95,-95,-92,-96,-97,-96,-91,-94,-97,-94,-93,-99,-96,-96,-98,-101,-94,-93,-95,-94,-95,-96,-96,-97,-94,-97,-95,-94,-94,-96,-99,-95,-95,-96,-98,-91,-96,-98,-97,-101,-97,-94,-95,-100,-99,-98,-97,-102,-96,-96,-97,-95,-95,-93,-94,-92,-98,-95,-97,-97,-95,-95,-98,-91,-96,-98,-95,-94,-96,-95,-96,-100,-96,-95,-98,-96,-100,-99,-94,-101,-97,-97,-95,-92,-93,-101,-95,-99,-97,-98,-98,-95,-95,-94,-97,-98,-93,-97,-97,-100,-98,-94,-97,-96,-97,-97,-96,-93,-93,-98,-100,-97,-96,-99,-94,-94,-96,-97,-91,-96,-97,-96,-99,-100,-93,-96,-80,-99,-99,-95,-97,-99,-101,-101,-99,-90,-95,-92,-95,-95,-93,-96,-96,-97,-98,-103,-96,-100,-99,-98,-97,-97,-101,-99,-98,-99,-94,-99,-94,-96,-98,-95,-97,-100,-96,-99,-96,-99,-94,-95,-94,-94,-100,-97,-94,-96,-92,-96,-95,-92,-97,-96,-96,-96,-92,-95,-94,-101,-95,-92,-103,-98,-94,-94,-97,-98,-95,-92,-97,] :200
2012-03-24 17:01:08 frame: [-94,-93,-102,-94,-91,-99,-97,-94,-95,-95,-98,-97,-96,-99,-97,-96,-98,-103,-97,-97,-94,-96,-95,-94,-100,-95,-97,-96,-99,-95,-96,-98,-94,-100,-96,-94,-102,-95,-102,-99,-94,-99,-102,-98,-95,-96,-95,-98,-97,-95,-93,-96,-100,-96,-93,-95,-97,-91,-99,-95,-96,-98,-99,-96,-95,-92,-94,-98,-97,-96,-95,-96,-98,-97,-94,-96,-96,-94,-94,-94,-93,-102,-96,-99,-96,-100,-98,-96,-100,-98,-97,-95,-97,-98,-100,-94,-94,-95,-91,-97,-97,-99,-103,-96,-96,-95,-100,-98,-93,-68,-97,-99,-102,-99,-97,-95,-93,-96,-99,-99,-95,-97,-93,-96,-94,-92,-94,-99,-96,-95,-97,-104,-99,-99,-98,-99,-99,-93,-99,-99,-94,-95,-95,-98,-101,-99,-95,-100,-94,-99,-101,-96,-100,-94,-93,-95,-101,-99,-98,-94,-96,-101,-101,-95,-94,-94,-95,-94,-97,-100,-96,-98,-93,-97,-98,-94,-101,-97,-95,-95,-101,-98,-95,-104,-92,-96,-96,-98,-97,-93,-96,-95,-96,-94,-96,-99,-97,-97,-98,-95,] :200
2012-03-24 17:01:09 frame: [-99,-96,-95,-94,-90,-96,-98,-97,-96,-92,-97,-94,-95,-95,-99,-97,-97,-95,-95,-94,-101,-98,-97,-92,-97,-94,-96,-94,-93,-95,-92,-98,-95,-97,-95,-97,-93,-99,-97,-98,-93,-97,-98,-97,-96,-99,-97,-100,-99,-93,-100,-99,-100,-97,-94,-103,-97,-94,-96,-99,-101,-98,-98,-101,-97,-98,-95,-94,-96,-97,-94,-100,-98,-94,-97,-93,-96,-93,-96,-101,-99,-96,-97,-99,-98,-99,-94,-94,-95,-98,-98,-97,-94,-97,-94,-95,-97,-93,-97,-98,-98,-98,-99,-95,-101,-100,-98,-95,-97,-99,-103,-97,-96,-96,-98,-96,-91,-93,-98,-95,-95,-91,-95,-93,-95,-97,-97,-94,-101,-96,-99,-98,-103,-98,-97,-96,-96,-94,-97,-99,-97,-99,-95,-99,-97,-97,-98,-97,-94,-96,-97,-100,-98,-85,-98,-100,-96,-97,-92,-94,-98,-100,-102,-100,-90,-98,-99,-98,-97,-94,-99,-98,-94,-99,-99,-101,-98,-95,-99,-95,-97,-93,-100,-96,-97,-96,-95,-96,-97,-96,-99,-95,-97,-96,-96,-94,-98,-94,-99,-99,] :200
2012-03-24 17:01:10 frame: [-95,-94,-93,-102,-100,-92,-98,-99,-94,-98,-99,-98,-96,-97,-98,-96,-96,-95,-95,-99,-97,-95,-99,-94,-96,-96,-94,-98,-97,-99,-97,-98,-96,-98,-95,-97,-94,-95,-96,-95,-99,-97,-98,-93,-101,-95,-96,-102,-92,-98,-98,-92,-96,-95,-94,-97,-97,-95,-95,-96,-93,-96,-97,-96,-97,-97,-96,-95,-94,-97,-99,-95,-98,-98,-96,-96,-95,-93,-97,-99,-102,-92,-95,-95,-95,-102,-93,-98,-101,-91,-96,-99,-98,-95,-96,-99,-94,-101,-99,-95,-95,-96,-95,-94,-98,-95,-94,-97,-95,-92,-99,-95,-101,-96,-97,-93,-99,-101,-96,-96,-94,-92,-100,-91,-102,-90,-102,-88,-99,-95,-101,-97,-100,-95,-95,-96,-97,-97,-95,-94,-97,-97,-100,-99,-103,-97,-95,-97,-92,-98,-101,-92,-96,-97,-98,-93,-95,-97,-102,-102,-96,-98,-98,-95,-95,-97,-99,-97,-95,-94,-96,-95,-97,-96,-102,-99,-98,-101,-100,-100,-97,-96,-94,-98,-98,-96,-94,-102,-98,-97,-97,-95,-94,-96,-99,-98,-93,-96,-97,-95,] :200
2012-03-24 17:01:11 frame: [-98,-97,-96,-96,-93,-94,-96,-93,-97,-95,-98,-98,-96,-94,-96,-94,-97,-95,-101,-94,-104,-97,-98,-97,-95,-95,-101,-97,-97,-97,-93,-100,-96,-96,-97,-94,-95,-92,-95,-94,-98,-93,-93,-99,-94,-95,-99,-94,-98,-103,-98,-97,-96,-96,-95,-98,-102,-91,-102,-96,-95,-98,-98,-97,-102,-100,-96,-91,-97,-98,-98,-100,-95,-99,-94,-97,-93,-100,-96,-99,-92,-95,-97,-100,-92,-94,-97,-99,-97,-98,-99,-98,-95,-93,-92,-102,-93,-96,-95,-93,-98,-93,-98,-93,-96,-91,-97,-97,-94,-97,-95,-101,-95,-96,-91,-96,-99,-95,-95,-96,-98,-94,-94,-94,-98,-96,-93,-93,-96,-96,-98,-98,-91,-96,-95,-92,-95,-99,-95,-96,-96,-95,-96,-99,-97,-97,-97,-95,-97,-96,-95,-99,-97,-93,-89,-95,-94,-93,-101,-94,-96,-94,-97,-100,-98,-104,-91,-94,-92,-98,-97,-100,-95,-93,-94,-100,-95,-95,-96,-97,-89,-92,-96,-89,-92,-91,-98,-98,-98,-95,-93,-93,-95,-100,-96,-98,-99,-95,-94,-96,] :200
2012-03-24 17:01:12 frame: [-96,-102,-97,-101,-95,-98,-98,-96,-97,-94,-94,-102,-95,-95,-97,-96,-97,-96,-96,-96,-95,-96,-95,-97,-100,-99,-97,-95,-97,-95,-97,-96,-94,-95,-96,-99,-93,-95,-94,-97,-97,-99,-95,-96,-100,-101,-96,-100,-96,-100,-90,-93,-93,-95,-95,-91,-101,-96,-96,-99,-96,-95,-97,-99,-96,-98,-98,-94,-97,-96,-96,-97,-99,-100,-99,-97,-94,-102,-92,-94,-93,-93,-100,-99,-95,-98,-96,-92,-95,-97,-97,-99,-96,-96,-100,-94,-99,-99,-97,-97,-99,-96,-101,-98,-98,-94,-95,-98,-97,-96,-94,-95,-99,-102,-96,-99,-97,-96,-98,-91,-95,-94,-91,-98,-97,-97,-97,-84,-96,-94,-97,-94,-102,-95,-97,-97,-98,-96,-96,-98,-95,-98,-98,-100,-97,-98,-96,-101,-95,-96,-97,-98,-94,-98,-92,-92,-95,-103,-97,-94,-94,-97,-94,-96,-95,-94,-99,-98,-100,-100,-99,-98,-97,-101,-98,-104,-96,-97,-97,-95,-102,-97,-101,-93,-90,-97,-95,-95,-95,-95,-97,-99,-95,-99,-97,-94,-98,-98,-96,-99,] :200
2012-03-24 17:01:13 frame: [-98,-98,-97,-99,-100,-99,-91,-95,-96,-99,-97,-96,-100,-98,-99,-98,-99,-94,-95,-102,-92,-93,-96,-95,-98,-94,-94,-97,-96,-95,-94,-95,-97,-96,-91,-93,-97,-96,-96,-97,-93,-98,-95,-99,-95,-91,-97,-95,-97,-102,-97,-93,-104,-100,-99,-98,-95,-95,-99,-99,-95,-94,-95,-99,-95,-99,-99,-98,-96,-94,-97,-99,-97,-96,-95,-95,-97,-94,-95,-96,-93,-99,-96,-94,-99,-94,-99,-96,-96,-99,-95,-91,-99,-98,-95,-100,-97,-95,-97,-97,-96,-94,-92,-97,-93,-97,-96,-96,-94,-97,-90,-95,-95,-98,-97,-100,-94,-103,-91,-100,-92,-94,-95,-98,-95,-98,-97,-98,-95,-97,-96,-94,-96,-95,-97,-94,-96,-99,-97,-95,-95,-97,-96,-94,-96,-94,-95,-97,-94,-91,-98,-99,-99,-95,-94,-94,-98,-95,-96,-95,-96,-99,-99,-98,-96,-95,-97,-96,-104,-97,-96,-98,-99,-99,-93,-95,-99,-98,-98,-98,-96,-98,-96,-95,-97,-95,-92,-96,-98,-95,-98,-99,-95,-95,-95,-100,-97,-98,-91,-101,] :200
2012-03-24 17:01:14 frame: [-98,-97,-95,-99,-93,-100,-97,-92,-99,-99,-95,-101,-100,-96,-95,-98,-96,-99,-96,-97,-97,-98,-100,-98,-97,-97,-97,-99,-95,-95,-93,-96,-96,-102,-100,-98,-94,-100,-95,-95,-101,-90,-98,-96,-94,-98,-96,-100,-99,-96,-100,-99,-100,-96,-94,-99,-96,-97,-95,-97,-93,-93,-100,-98,-96,-96,-94,-95,-96,-94,-97,-99,-93,-98,-94,-101,-97,-96,-96,-97,-96,-101,-94,-97,-98,-94,-98,-97,-100,-94,-98,-98,-95,-99,-93,-100,-94,-95,-94,-99,-96,-98,-96,-100,-99,-100,-96,-94,-98,-94,-98,-100,-97,-99,-97,-96,-98,-99,-98,-98,-90,-94,-96,-98,-95,-99,-98,-93,-97,-95,-99,-94,-96,-98,-94,-96,-96,-96,-99,-93,-92,-96,-95,-93,-96,-93,-96,-94,-95,-98,-97,-99,-98,-100,-100,-99,-98,-96,-95,-99,-103,-96,-98,-93,-98,-98,-96,-100,-96,-100,-96,-92,-93,-98,-101,-99,-96,-102,-94,-98,-98,-94,-97,-98,-100,-93,-97,-95,-96,-100,-99,-98,-96,-96,-97,-92,-95,-94,-95,-96,] :200
2012-03-24 17:01:15 frame: [-94,-99,-98,-97,-101,-99,-96,-94,-95,-97,-98,-94,-96,-98,-97,-95,-99,-94,-99,-100,-97,-97,-97,-98,-95,-97,-93,-100,-99,-95,-98,-98,-96,-100,-96,-98,-95,-95,-93,-100,-97,-100,-96,-93,-95,-101,-95,-96,-94,-100,-98,-99,-100,-102,-99,-97,-95,-97,-98,-99,-97,-93,-99,-97,-100,-97,-95,-94,-93,-97,-99,-96,-101,-96,-96,-97,-97,-94,-98,-99,-99,-99,-95,-98,-99,-94,-97,-99,-96,-100,-97,-95,-94,-99,-94,-99,-95,-95,-100,-99,-96,-99,-96,-94,-94,-100,-95,-95,-101,-98,-95,-96,-96,-98,-98,-96,-94,-95,-96,-96,-93,-93,-97,-99,-97,-96,-97,-97,-94,-96,-94,-92,-101,-95,-98,-96,-100,-94,-93,-95,-96,-98,-96,-99,-94,-98,-96,-96,-97,-94,-97,-97,-97,-93,-93,-101,-99,-95,-97,-96,-99,-99,-98,-93,-100,-95,-99,-96,-99,-97,-97,-99,-95,-100,-95,-95,-95,-95,-99,-96,-96,-100,-95,-92,-97,-95,-94,-97,-95,-96,-100,-99,-93,-95,-93,-98,-99,-94,-97,-96,] :200
