Found 1 spectool devices...
Initializing WiSPY device Wi-Spy 24x2 USB 0 id 5
Configured device 2417885478 (Wi-Spy 24x2 USB 2417885478)
    2400MHz-2495MHz @ 500.00KHz, 191 samples
2011-07-11 01:03:05 frame: [-104,-103,-102,-104,-101,-103,-103,-103,-104,-102,-102,-103,-102,-102,-101,-103,-104,-102,-102,-103,-102,-103,-104,-104,-102,-103,-102,-104,-103,-102,-102,-104,-102,-102,-103,-103,-102,-103,-104,-103,-101,-102,-103,-103,-103,-103,-103,-103,-102,-103,-104,-104,-101,-104,-102,-103,-102,-102,-103,-104,-101,-103,-103,-103,-103,-103,-102,-102,-101,-103,-103,-102,-104,-102,-103,-103,-104,-103,-104,-103,-102,-103,-104,-103,-104,-103,-102,-101,-103,-102,-104,-103,-102,-103,-102,-104,-103,-102,-103,-103,-102,-104,-103,-103,-103,-102,-102,-102,-102,-104,-103,-104,-103,-103,-103,-104,-103,-104,-103,-101,-103,-102,-101,-103,-104,-103,-105,-103,-104,-103,-103,-102,-103,-103,-103,-103,-104,-103,-103,-104,-101,-102,-102,-103,-104,-104,-103,-102,-104,-103,-103,-103,-103,-105,-103,-102,-104,-103,-103,-103,-103,-102,-103,-103,-103,-103,-103,-103,-102,-103,-103,-101,-103,-103,-101,-103,-102,-102,-102,-104,-103,-101,-104,-102,-102,-103,-104,-102,-103,-102,-103,] :191 
2011-07-11 01:03:06 frame: [-114,-94,-93,-94,-92,-94,-95,-93,-94,-95,-94,-94,-94,-93,-94,-95,-95,-95,-95,-95,-94,-95,-95,-94,-94,-94,-94,-94,-95,-94,-95,-94,-95,-96,-95,-95,-94,-95,-94,-94,-95,-95,-95,-96,-95,-94,-95,-95,-94,-93,-95,-94,-95,-93,-95,-95,-94,-94,-95,-94,-94,-94,-93,-95,-95,-95,-95,-94,-94,-94,-95,-95,-94,-94,-95,-95,-96,-94,-94,-94,-94,-94,-94,-95,-95,-95,-94,-94,-95,-95,-95,-95,-94,-95,-96,-95,-95,-95,-94,-94,-95,-95,-95,-94,-95,-95,-95,-94,-95,-95,-93,-95,-95,-95,-95,-95,-96,-96,-95,-95,-95,-94,-95,-95,-94,-94,-94,-95,-93,-95,-93,-95,-95,-94,-94,-94,-94,-94,-95,-94,-95,-95,-95,-95,-95,-95,-94,-95,-95,-95,-95,-94,-95,-95,-95,-95,-93,-95,-94,-94,-93,-95,-94,-94,-95,-94,-95,-95,-94,-94,-94,-93,-94,-96,-94,-95,-93,-95,-95,-91,-94,-95,-95,-95,-96,-95,-94,-94,-95,-93,-95,] :191 
2011-07-11 01:03:06 frame: [-114,-94,-94,-94,-94,-94,-95,-95,-95,-94,-93,-94,-95,-94,-95,-94,-94,-95,-95,-95,-94,-94,-94,-94,-94,-95,-95,-93,-95,-94,-95,-95,-95,-95,-96,-94,-95,-95,-96,-95,-95,-95,-94,-94,-94,-95,-95,-94,-94,-95,-95,-94,-95,-93,-95,-94,-95,-95,-94,-95,-93,-94,-95,-93,-94,-94,-94,-94,-94,-95,-93,-93,-93,-94,-95,-95,-93,-94,-95,-95,-94,-95,-94,-95,-93,-94,-94,-95,-94,-94,-94,-95,-94,-93,-94,-94,-94,-94,-94,-95,-94,-94,-94,-93,-94,-95,-94,-94,-95,-94,-95,-95,-94,-95,-94,-95,-94,-94,-95,-95,-95,-94,-95,-95,-94,-94,-95,-95,-94,-93,-95,-95,-95,-94,-95,-95,-95,-95,-95,-95,-94,-94,-95,-95,-95,-94,-95,-94,-94,-95,-94,-96,-94,-94,-95,-93,-94,-95,-95,-95,-95,-95,-94,-94,-93,-94,-96,-94,-94,-95,-95,-95,-95,-94,-95,-95,-95,-94,-94,-94,-94,-95,-94,-94,-95,-94,-95,-94,-94,-94,-94,] :191 
2011-07-11 01:03:06 frame: [-114,-94,-93,-93,-93,-94,-92,-93,-95,-93,-93,-93,-92,-94,-95,-94,-93,-94,-92,-94,-94,-95,-93,-93,-93,-94,-94,-95,-94,-95,-94,-94,-93,-93,-94,-94,-94,-93,-94,-95,-94,-93,-94,-95,-77,-72,-92,-95,-94,-93,-94,-94,-94,-95,-92,-94,-95,-95,-92,-94,-95,-95,-94,-94,-95,-95,-94,-93,-95,-95,-94,-95,-94,-95,-93,-95,-95,-96,-94,-95,-94,-94,-94,-95,-93,-94,-93,-94,-93,-94,-93,-93,-94,-94,-93,-93,-94,-95,-94,-94,-94,-94,-94,-92,-94,-93,-95,-92,-94,-94,-94,-94,-94,-94,-95,-94,-95,-94,-94,-94,-94,-93,-95,-95,-94,-94,-94,-94,-94,-94,-94,-93,-95,-94,-94,-93,-94,-94,-94,-94,-95,-95,-95,-94,-94,-94,-95,-93,-95,-94,-94,-95,-94,-94,-94,-94,-94,-94,-93,-94,-95,-95,-94,-94,-94,-94,-95,-94,-93,-93,-94,-94,-94,-93,-95,-95,-95,-94,-94,-94,-92,-94,-95,-94,-95,-94,-95,-94,-93,-94,-94,] :191 
2011-07-11 01:03:07 frame: [-115,-92,-92,-93,-94,-94,-94,-93,-93,-93,-94,-93,-94,-95,-92,-94,-94,-93,-94,-94,-94,-94,-93,-93,-93,-95,-95,-94,-93,-94,-94,-94,-95,-94,-93,-94,-94,-93,-93,-94,-94,-95,-92,-95,-93,-94,-94,-94,-94,-94,-92,-93,-93,-95,-95,-93,-93,-95,-94,-93,-95,-94,-94,-93,-93,-94,-94,-93,-94,-95,-95,-94,-94,-95,-93,-93,-94,-94,-95,-94,-94,-94,-94,-93,-93,-92,-94,-95,-94,-94,-94,-93,-93,-93,-93,-93,-93,-94,-94,-94,-94,-95,-94,-95,-93,-95,-95,-91,-94,-95,-94,-95,-94,-93,-94,-94,-93,-93,-94,-95,-93,-93,-94,-94,-95,-95,-94,-93,-93,-95,-94,-95,-94,-94,-94,-94,-94,-94,-94,-94,-94,-95,-94,-95,-94,-94,-94,-94,-94,-95,-94,-94,-94,-95,-94,-93,-95,-95,-95,-94,-93,-94,-94,-95,-94,-95,-94,-94,-94,-94,-94,-95,-96,-94,-93,-95,-94,-95,-94,-94,-94,-95,-94,-94,-95,-94,-94,-94,-95,-94,-95,] :191 
2011-07-11 01:03:07 frame: [-113,-93,-94,-93,-95,-95,-94,-93,-94,-94,-95,-94,-64,-93,-94,-94,-94,-95,-93,-94,-94,-94,-94,-94,-94,-95,-95,-93,-94,-95,-95,-95,-93,-93,-95,-96,-94,-93,-94,-95,-94,-94,-94,-94,-93,-95,-94,-94,-93,-67,-92,-94,-94,-94,-94,-95,-94,-93,-94,-95,-94,-94,-94,-93,-95,-94,-94,-94,-95,-95,-95,-53,-70,-94,-95,-95,-95,-94,-94,-93,-94,-94,-94,-94,-94,-94,-95,-93,-94,-95,-95,-95,-94,-94,-94,-93,-93,-93,-95,-95,-95,-94,-93,-94,-94,-94,-94,-93,-95,-95,-95,-95,-95,-94,-93,-95,-93,-94,-94,-94,-93,-93,-93,-95,-93,-95,-95,-94,-94,-94,-94,-95,-95,-94,-94,-93,-94,-94,-94,-94,-94,-94,-93,-96,-95,-95,-95,-94,-94,-95,-94,-94,-93,-95,-95,-95,-94,-94,-94,-95,-94,-95,-93,-93,-94,-94,-95,-94,-94,-94,-95,-94,-94,-95,-95,-95,-94,-94,-94,-94,-95,-95,-95,-95,-94,-93,-94,-94,-94,-94,-95,] :191 
2011-07-11 01:03:08 frame: [-114,-94,-94,-95,-94,-95,-94,-94,-94,-93,-94,-94,-94,-93,-94,-95,-94,-94,-94,-94,-94,-93,-94,-94,-93,-94,-94,-95,-94,-96,-94,-95,-95,-94,-94,-94,-95,-94,-94,-95,-94,-94,-95,-94,-95,-95,-95,-94,-94,-96,-96,-94,-94,-95,-95,-95,-95,-94,-93,-94,-93,-94,-93,-93,-94,-95,-94,-94,-94,-95,-94,-93,-93,-95,-94,-95,-95,-95,-94,-96,-95,-94,-95,-95,-95,-95,-95,-95,-94,-94,-92,-95,-95,-95,-95,-94,-93,-96,-95,-94,-94,-95,-95,-94,-95,-94,-94,-94,-95,-94,-95,-94,-93,-95,-94,-93,-94,-94,-94,-94,-94,-94,-94,-94,-95,-95,-95,-94,-93,-94,-94,-95,-94,-95,-94,-96,-95,-95,-96,-93,-95,-93,-95,-94,-95,-94,-95,-95,-95,-95,-94,-94,-95,-96,-94,-95,-95,-94,-93,-95,-95,-93,-94,-93,-93,-93,-94,-95,-94,-94,-94,-94,-94,-95,-95,-93,-94,-95,-95,-94,-94,-93,-94,-94,-94,-95,-94,-96,-95,-94,-93,] :191 
2011-07-11 01:03:08 frame: [-114,-94,-94,-95,-96,-94,-94,-93,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-93,-94,-93,-92,-94,-93,-93,-94,-94,-94,-95,-94,-94,-94,-95,-93,-94,-94,-94,-94,-94,-93,-95,-95,-93,-92,-95,-93,-94,-94,-94,-94,-95,-95,-95,-66,-67,-93,-94,-94,-93,-94,-93,-94,-93,-94,-94,-96,-95,-94,-93,-95,-96,-95,-94,-96,-94,-94,-94,-94,-95,-95,-95,-96,-93,-94,-95,-95,-95,-94,-96,-94,-94,-95,-94,-94,-94,-94,-95,-95,-93,-94,-94,-95,-95,-95,-92,-94,-94,-95,-95,-95,-94,-94,-95,-95,-94,-94,-94,-95,-95,-94,-94,-93,-95,-95,-94,-94,-95,-95,-95,-95,-94,-96,-94,-95,-94,-94,-94,-93,-94,-95,-94,-95,-94,-93,-94,-95,-94,-95,-96,-94,-94,-94,-94,-94,-95,-95,-96,-95,-95,-95,-94,-93,-93,-94,-94,-95,-95,-95,-95,-95,-94,-94,-95,-95,-94,-94,-94,-95,-93,-93,-94,-95,-94,-95,-95,-94,-94,-94,-94,-93,-93,] :191 
2011-07-11 01:03:08 frame: [-113,-94,-94,-94,-94,-95,-94,-94,-95,-95,-94,-94,-95,-93,-93,-95,-93,-95,-94,-95,-94,-92,-93,-93,-93,-95,-94,-95,-95,-95,-94,-94,-95,-95,-95,-96,-95,-95,-95,-96,-95,-96,-93,-95,-95,-95,-95,-94,-94,-95,-95,-93,-94,-95,-93,-94,-94,-95,-95,-94,-96,-94,-94,-95,-94,-95,-94,-95,-96,-95,-94,-93,-92,-92,-93,-95,-95,-94,-95,-94,-94,-94,-95,-94,-95,-95,-94,-96,-95,-94,-95,-95,-95,-94,-94,-94,-94,-96,-95,-95,-95,-95,-94,-94,-94,-94,-95,-95,-94,-94,-95,-92,-95,-94,-94,-94,-95,-95,-95,-95,-95,-93,-94,-94,-96,-95,-95,-95,-95,-94,-94,-96,-94,-96,-96,-95,-94,-95,-95,-95,-95,-95,-92,-94,-94,-94,-94,-94,-96,-93,-94,-95,-94,-95,-95,-94,-94,-94,-95,-94,-93,-95,-95,-95,-96,-95,-93,-94,-95,-95,-95,-95,-94,-95,-95,-93,-95,-94,-94,-96,-95,-94,-94,-94,-95,-95,-93,-94,-94,-94,-95,] :191 
2011-07-11 01:03:09 frame: [-114,-94,-95,-94,-94,-95,-94,-94,-95,-94,-93,-94,-95,-95,-94,-95,-95,-94,-94,-95,-95,-95,-94,-95,-95,-95,-94,-95,-94,-93,-95,-94,-93,-93,-95,-95,-96,-94,-94,-94,-95,-94,-95,-95,-95,-95,-95,-95,-95,-94,-95,-95,-95,-95,-95,-94,-95,-94,-94,-64,-92,-93,-95,-95,-94,-95,-95,-95,-95,-94,-95,-95,-95,-95,-95,-95,-96,-95,-95,-95,-94,-94,-94,-95,-95,-94,-95,-95,-94,-95,-94,-93,-96,-95,-94,-95,-95,-94,-94,-94,-95,-95,-94,-95,-95,-95,-94,-94,-95,-95,-95,-94,-95,-95,-95,-94,-94,-94,-95,-95,-95,-95,-94,-95,-93,-94,-95,-95,-94,-94,-94,-96,-95,-95,-95,-93,-95,-94,-95,-95,-94,-94,-94,-95,-95,-95,-94,-93,-95,-94,-95,-94,-94,-94,-95,-95,-94,-94,-96,-95,-95,-95,-94,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-94,-94,-94,-94,-96,-94,-95,-93,-94,-95,-94,-94,-94,-95,-95,-94,-95,-94,] :191 
